created_at,customer_id,transaction_id,session_id,product_metadata,payment_method,payment_status,promo_amount,promo_code,shipment_fee,shipment_location_lat,shipment_location_long,total_amount,clear_payment
2021-03-24T09:16:11.638Z,14159,511f59f8-3ef5-4388-b654-1a8c3da62819,4d55839d-4b3e-4068-b0ca-883fb081dd77,"[{'product_id': 40686, 'quantity': 1, 'item_price': 266512}]",Credit Card,Success,4735,WEEKENDMANTAP,10000,-4.26351275671241,105.489401701251,271777,1
2022-07-18T17:54:35.989Z,22576,8e509f58-7f8d-421d-b7bf-8f41db0ed911,4d5839f4-313f-45c6-b41d-9d884e684fd0,"[{'product_id': 24039, 'quantity': 1, 'item_price': 182915}, {'product_id': 57425, 'quantity': 1, 'item_price': 130574}]",Gopay,Success,0,,10000,-7.91707661186231,110.13187555325,323489,1
2023-08-05T16:17:15.871Z,18696,29d32f23-a07a-4f20-a3c4-77801ad2516c,4d5ad667-a524-4de3-b729-46fbae8b1064,"[{'product_id': 21145, 'quantity': 1, 'item_price': 255028}]",Gopay,Success,0,,50000,-7.39661418330981,109.511262594032,305028,1
2020-08-16T08:46:08.872Z,90136,a3e90650-4db3-408d-be16-79b432af0f86,4d5e5a02-dfed-40e1-bd84-c3be2821415e,"[{'product_id': 27913, 'quantity': 7, 'item_price': 120541}]",Credit Card,Success,0,,10000,-0.637290541399757,109.492521253314,853787,1
2022-06-06T00:25:35.970Z,18960,12ffdc68-a0ba-44e6-92e5-51173a6c91b1,000128d0-c51c-411b-88e6-0cf5d9642d2d,"[{'product_id': 56646, 'quantity': 1, 'item_price': 271002}]",Debit Card,Success,0,,5000,-7.32004136393024,111.225797135699,276002,1
2020-07-04T22:31:06.078Z,60646,430dc90b-6c04-408c-9b4e-09147c9c2367,b8e4ba8c-2810-4c27-b64b-796840c0d13d,"[{'product_id': 1869, 'quantity': 1, 'item_price': 305512}]",Gopay,Success,6813,AZ2022,25000,-4.52328589944563,105.385799510518,323699,1
2021-12-10T17:50:21.600Z,5901,89a39293-dee2-48a4-b1b5-f9eda8ca688d,756a8aed-7ef5-4a15-b1d4-62229d45efdc,"[{'product_id': 22555, 'quantity': 1, 'item_price': 181627}]",OVO,Success,0,,10000,-7.43210236666926,111.096960686913,191627,1
2022-02-10T02:21:40.376Z,69072,cddea303-22d6-41f7-ae79-149bb915d017,4d6363c2-7275-4ec2-a89e-aab4a965bf85,"[{'product_id': 29890, 'quantity': 1, 'item_price': 293088}, {'product_id': 18472, 'quantity': 1, 'item_price': 153769}]",Credit Card,Success,0,,10000,-6.26355191799179,106.859716713089,456857,1
2022-06-11T03:32:56.500Z,92076,9cf8b365-0b86-4c33-ab27-c7f94746d30c,4d6e460e-ba93-4c80-9017-24b0ecb3f16b,"[{'product_id': 49545, 'quantity': 1, 'item_price': 237367}]",Gopay,Success,3862,BUYMORE,0,-0.420556955342107,113.93175424743,233505,1
2023-11-06T06:56:34.529Z,51799,6323379e-5dee-4d09-98d8-b2d7bccf6d09,4d9fd70f-14a8-4c35-8512-8ea8798f848e,"[{'product_id': 29977, 'quantity': 1, 'item_price': 276303}]",Debit Card,Success,0,,10000,-2.98365414329573,101.93104883237,286303,1
